location_name_value,location_name_count
TNI - 15-17 Phạm Hùng,5058
KGI - 709 Quốc Lộ 61,5050
BDU - 416 Cách Mạng Tháng Tám,5036
HCM - 71 Thạnh Lộc 16,5028
DON - 1912 Quốc Lộ 51,5024
HCM - 705 Nguyễn Thị Định,5021
DLK - 350 Phan Bội Châu,4999
TNI - 15 ĐT782,4995
HCM - 176 Gò Dầu,4991
HCM - 350 Phạm Thế Hiển,4991
HCM - 460 - 462 Cách Mạng Tháng 8,4984
BVT - D1 - 3/5 Nguyễn Hữu Cảnh,4980
HNI - 298-300 Phố Đội Cấn,4959
AGI - 126 Trần Phú,4942
HCM - 178 - 180 Tên Lửa,4941
HCM - 84 Nguyễn Văn Đậu,4935
DON -  F7/1 - F7/2 Quốc Lộ 51,4892
BDU - 44 Quốc Lộ 1K,4890
HCM - 191 Ni Sư Huỳnh Liên,4880
BDI - 666 Nguyễn Thái Học,4880
ĐTH - 51 Nguyễn Huệ,4868
HCM - Grand View Phú Mỹ Hưng,4861
DON - 58 Đồng Khởi,4846
BDU - 130 Nguyễn Thị Minh Khai,4844
LAN - 299 Quốc Lộ 50,4841
LDO - 21-22 Quốc Lộ 20,4836
HCM - 829-829A Hà Huy Giáp,4830
AGI - Lê Lợi,4813
BTR - Nguyễn Thị Định,4803
HCM - 655 Lê Văn Việt,4801
BDU - 03-05 Tự Do,4792
DNA - 16-B4.1 Nguyễn Hữu Thọ,4786
HCM - 14C Nguyễn Thị Định,4776
PYN - 222-224 Phạm Văn Đồng,4776
HCM - 178 Đỗ Xuân Hợp,4773
HCM - 39 Phan Văn Hớn,4760
DON - 376 Hoàng Bá Bích,4758
HCM - 107/1 Lê Văn Khương,4757
HUE - 111 Mai Thúc Loan,4752
HCM - 45 Nguyễn Hữu Trí,4748
ĐTH - Trần Hưng Đạo,4734
HCM - 406C Mã Lò,4717
HCM - 223 Hưng Nhơn,4695
LAN - 11 Nguyễn Trung Trực,4692
HCM - 307B-307D Lê Quang Định,4684
HCM - 79 Trần Đại Nghĩa,4682
HCM - 123 Lê Văn Quới,4681
HCM - 73 Tỉnh Lộ 8,4679
HNI - 2 Triệu Quốc Đạt,4676
BPH - KP Ninh Phú,4658
HCM - 333-335 Đường Số 7,4633
BVT - 559 - 561 - 563  đường 30/04,4631
HCM - A4/4A Trần Văn Giàu,4628
HCM - F2/29R - F3/221K2 Liên ấp 2-6,4614
CTO -  166 Cách Mạng Tháng 8,4605
BDU - DT 741,4598
HCM - 74 Đông Hưng Thuận 2,4594
HCM - 50B Tây Lân,4589
BVT - 177 Nguyễn Hữu Cảnh,4573
BTH - 156 -158 Thống Nhất,4560
BVT - 76 Nguyễn Hữu Thọ,4549
DON - 265 TL767,4549
QNG - 04 Nguyễn Trãi,4542
NTH - 119 QL1A,4524
TGI - 39B Quốc Lộ 50,4512
BTH - 547 Trần Hưng Đạo,4493
BVT - Quốc Lộ 51,4483
BDU - 4650 đường DB8,4457
HCM - 140A Hoàng Hoa Thám,4444
HCM - 631 Tỉnh Lộ 10,4442
HCM - 85-87 Vườn Lài,4437
BPH - 361 DT 741,4433
TVI - 172-174 Đường 30/4,4430
KTU - 473 Hùng Vương,4418
HCM - 1463-1465 Nguyễn Duy Trinh,4415
LDO - 81 Mê Linh,4407
HCM - 258-260 Phạm Văn Hai,4402
HCM - 141 Nguyên Hồng,4396
LDO - 12 Nguyễn Công Trứ,4395
DON - 93 Vũ Hồng Phô,4389
LAN - 167 Quốc Lộ 62,4381
KHO - 2436 Đại Lộ Hùng Vương,4340
DON - 2089 Quốc Lộ 1A,4338
LDO - Liên Trung,4333
BPH - 43 - 54 đường Sáu Tháng Một,4327
TNI - 339 Hoàng Lê Kha,4324
HNA - 34 Biên Hòa,4306
HCM - 43D Hòa Bình,4287
DNK - 325 Nguyễn Tất Thành,4286
HCM - 4423 Nguyễn Cửu Phú,4284
TGI - 124 Đinh Bộ Lĩnh,4283
STR - 1 Phan Văn Hùng,4270
BVT - 1129 KP Thị Vải,4258
DON - 144 Đinh Quang Ân,4252
ĐTH - QL80 Khóm 1,4248
TGI - 2/4 Quốc Lộ 1A,4242
BDU - DC79 đường DA6,4234
HCM - 404 Lê Văn Sỹ,4231
TNI - 138 Tôn Đức Thắng,4226
KHO - 19 Hoàng Diệu,4222
CTO - 8A CMT8,4207
HCM - 172 Đặng Văn Ngữ,4202
DON - 2227 Quốc Lộ 1A,4194
KHO - Thôn Dầu Sơn,4183
