district_value,district_count
Huyện Gia Lâm,50
Huyện Thới Bình,49
Tam Đường,48
Huyện Chư Prông,48
Bạch Thông,48
Huyện Đức Hòa,47
Huyện Phụng Hiệp,47
Thành Phố Hạ Long,47
Huyện Phù Cát,46
Ea Hleo,46
Huyện Chợ Mới,45
Huyện Cư Kuin,45
A Lưới,45
Huyện Chư Sê,45
Quận Ba Đình,45
Thành Phố Thái Bình,45
Mường La,44
Huyện Cần Giuộc,43
Quận Gò Vấp,43
Huyện Thường Tín,43
Thành Phố Bắc Ninh,43
Thành Phố Vũng Tàu,42
Thành Phố Hải Dương,42
Quan Hóa,42
Huyện Ea Kar,42
Huyện Châu Phú,41
Kỳ Sơn,41
Na Rì,41
Ba Chẽ,41
Quan Sơn,41
Huyện Sóc Sơn,41
Hoàng Su Phì,40
Huyện Ea H'leo,39
Quận Cái Răng,39
Thành Phố Bạc Liêu,39
Quận Thanh Khê,39
Quận Tây Hồ,39
Quận Ngô Quyền,38
Huyện Đầm Dơi,38
Huyện Trảng Bom,38
Quỳnh Nhai,38
Cát Hải,37
Thành Phố Bà Rịa,37
Huyện Phú Tân,37
Thị Xã Ninh Hòa,37
Quận Hoàn Kiếm,37
Bắc Yên,37
Bác Ái,36
Kon Rẫy,36
Huyện Chư Pưh,36
Thành Phố Long Xuyên,35
Đình Lập,35
Quang Bình,35
Thạch An,35
Nậm Pồ,35
Xín Mần,35
Quận 1,34
Huyện Tân Phú,34
Huyện Thuỷ Nguyên,34
Mường Khương,34
Quận Cẩm Lệ,33
Huyện Vĩnh Thạnh,33
Hạ Lang,33
Thành Phố Vĩnh Long,32
Thành Phố Sóc Trăng,32
Huyện Ba Tri,32
Huyện Cờ Đỏ,32
Huyện Tuy Phước,32
Quận Ô Môn,32
Lâm Bình,32
Cô Tô,32
Huyện Phú Xuyên,32
Quận 6,31
Huyện Châu Thành A,31
Thành Phố Yên Bái,31
Mường Ảng,31
Huyện Thống Nhất,30
Huyện Lấp Vò,30
Tây Giang,30
Huyện Khánh Vĩnh,30
Vân Hồ,30
Nguyên Bình,30
Thành Phố Tây Ninh,29
Huyện Trà Bồng,29
Huyện Kế Sách,29
Mèo Vạc,29
Huyện U Minh,29
Kon Plông,28
Nậm Nhùn,28
Bắc Mê,28
Yên Minh,28
Bảo Lạc,28
Thành Phố Tân An,27
Huyện Diên Khánh,27
Huyện Tiên Du,27
Huyện Mang Thít,27
Huyện Hàm Thuận Bắc,27
Huyện Krông Nô,27
Thị Xã Tân Uyên,26
Kinh Dương,26
Đồng Văn,26
Huyện Cái Nước,26
Mù Căng Chải,26
Huyện Nghi Lộc,26
Quận Hải Châu,25
Thành Phố Tân Uyên,25
Quận Thốt Nốt,25
Thành Phố Cao Lãnh,25
Quận Liên Chiểu,25
Huyện Ea Súp,25
Minh Long,25
Huyện Yên Thành,25
Quận 7,25
Huyện Phú Lộc,25
Huyện Cư M'gar,25
Huyện Cần Đước,24
Thị Xã Mỹ Hào,24
Huyện Thới Lai,24
Quản Bạ,24
Thành Phố Phú Quốc,23
Cư Mgar,23
Thành Phố Cam Ranh,23
Huyện Vĩnh Cửu,23
Huyện Thoại Sơn,23
Huyện Long Điền,23
Huyện Quốc Oai,23
Ia H' Drai,23
Huyện Mang Yang,23
Huyện Mộ Đức,23
Mường Nhé,23
Sốp Cộp,23
Huyện Tư Nghĩa,22
Thành Phố Bảo Lộc,22
Thị Xã Điện Bàn,22
Pác Nặm,22
Thành Phố Thanh Hóa,22
Huyện Bình Sơn,22
Huyện Cư Jút,22
Thành Phố Bến Tre,21
Thành Phố Rạch Giá,21
Huyện Đắk Mil,21
Thị Xã Sông Cầu,21
Huyện Tuy Phong,21
Huyện Krông Năng,21
Huyện Vũ Thư,21
Thành Phố Nam Định,21
Huyện Thanh Hà,21
Thành Phố Thái Nguyên,21
Thị Xã Buôn Hồ,20
Quận Phú Nhuận,20
Huyện Long Thành,20
Nam Trà My,20
Quận 5,20
Huyện Hàm Thuận Nam,20
Huyện Đức Cơ,20
Thị xã Tịnh Biên,20
Đắk Rlấp,19
Thị Xã Tân Châu,19
Quận Hồng Bàng,19
Huyện Krông Pắc,19
Huyện Kiến Thuỵ,19
Thành Phố Bắc Giang,19
Huyện Sơn Tịnh,19
Huyện An Phú,19
Huyện Ngọc Hiển,19
Huyện Tri Tôn,19
Huyện Yên Dũng,19
Huyện Vĩnh Tường,19
Thành Phố Hội An,18
Thành Phố Qui Nhơn,18
Quận 4,18
Huyện Tân Hiệp,18
Thị Xã Bình Minh,18
Huyện Krông Bông,18
Thành Phố Tuyên Quang,18
Thị Xã Hương Thủy,18
Huyện Ba Vì,18
Huyện Phúc Thọ,18
Huyện Phù Mỹ,18
Huyện Lập Thạch,18
Mường Lát,18
Mường Lay,18
Huyện Trần Đề,18
Huyện Ba Tơ,17
Huyện Gò Công Tây,17
Quận Ngũ Hành Sơn,17
Huyện Tây Sơn,17
Huyện Hòa Vang,17
Si Ma Cai,17
Thành Phố Sơn La,17
Mường Chà,17
Huyện Lắk,17
Huyện Mê Linh,17
Thị xã Hoài Nhơn,17
Huyện Giồng Riềng,16
Thành Phố Đồng Xoài,16
Thành Phố Ninh Bình,16
Huyện Lộc Ninh,16
Thành phố Phan Rang-Tháp Chàm,16
Huyện Thanh Miện,16
Quận 3,16
Huyện Krông A Na,16
Huyện Định Quán,16
Huyện Đức Trọng,16
Huyện Phú Vang,16
Thành Phố Châu Đốc,16
Huyện Tánh Linh,16
Huyện Cao Lãnh,16
Thành Phố Vĩnh Yên,16
Huyện Mỹ Xuyên,16
Thị Xã Phước Long,15
Thị Xã La Gi,15
Huyện Yên Lạc,15
Quận 11,15
Huyện Ứng Hòa,15
Tủa Chùa,15
Huyện Văn Lâm,15
Huyện Xuyên Mộc,15
Huyện Krông Búk,15
Huyện Mỹ Đức,15
Huyện Tân Hưng,15
Huyện Vạn Ninh,15
Thành phố Phú Quốc,14
Mđrắk,14
Huyện Vị Thuỷ,14
Huyện Đức Linh,14
Thành Phố Vị Thanh,14
Thành Phố Việt Trì,14
Huyện Bàu Bàng,14
Huyện Diễn Châu,14
Huyện Đăk Glong,14
Quận Sơn Trà,14
Huyện Đô Lương,14
Huyện An Lão,13
Huyện Long Hồ,13
Huyện Sông Lô,13
Thị xã Trảng Bàng,13
Huyện Yên Mỹ,13
Huyện Tân Thạnh,13
Thị Xã Sơn Tây,13
Huyện Đan Phượng,13
Quận Kiến An,13
Huyện Mỹ Tú,13
Huyện Tam Bình,13
Huyện Cẩm Giàng,13
Huyện Ia Grai,13
Huyện Tam Đảo,13
Thành Phố Sa Đéc,12
Huyện Đồng Phú,12
Thị trấn Bến Lức,12
Thành Phố Trà Vinh,12
Huyện Bù Đăng,12
Huyện Châu Đức,12
Thành Phố Đồng Hới,12
Huyện Hàm Tân,12
Huyện Nhà Bè,12
Huyện Chư Păh,12
Huyện Thăng Bình,12
Huyện Trà Ôn,12
Huyện Lục Nam,12
Huyện Hưng Hà,12
Huyện Phù Cừ,11
Huyện Bình Đại,11
Thành Phố Kon Tum,11
Huyện Nghĩa Hành,11
Thành phố Từ Sơn,11
Huyện Giao Thủy,11
Huyện Đắk Song,11
Huyện Bình Tân,11
Thị Xã Gò Công,11
Huyện Hương Khê,11
Thành Phố Lào Cai,11
Quận Đồ Sơn,11
Huyện Kiến Xương,11
Huyện Đông Hải,11
Huyện Nam Đàn,11
Huyện Thiệu Hóa,11
Huyện Đồng Văn,11
Huyện Ninh Giang,11
Huyện An Biên,11
Huyện Khoái Châu,11
Thị Xã Hòa Thành,11
Điện Biên Đông,11
Huyện Kim Thành,11
Thị xã Chơn Thành,10
Thành Phố Tuy Hoà,10
Huyện Bến Lức,10
Thành Phố Hà Tĩnh,10
Thị Xã Hương Trà,10
Thành Phố Tuy Hòa,10
Huyện Xuân Lộc,10
Huyện Đại Lộc,10
Huyện Tân Yên,10
Huyện Đông Hưng,10
Huyện Long Phú,10
Thị xã Đức Phổ,10
Huyện Bắc Tân Uyên,10
Huyện Thanh Liêm,10
Huyện Nam Trực,10
Huyện Vĩnh Bảo,10
Huyện Càng Long,10
Huyện Thái Thụy,10
Huyện Thạnh Hóa,10
Huyện Gò Dầu,9
Thị Xã Long Mỹ,9
Huyện Dầu Tiếng,9
Huyện Ninh Phước,9
Huyện Bắc Bình,9
Thị Xã Phú Thọ,9
Thị Xã Đông Triều,9
Huyện Hồng Ngự,9
Huyện Quảng Điền,9
Thị xã Quế Võ,9
Huyện Cầu Kè,9
Huyện Tiên Lãng,9
Huyện Quỳnh Phụ,9
Huyện Đức Huệ,9
Tu Mơ Rông,9
Huyện Hòn Đất,9
Huyện Bình Giang,9
Thành Phố Chí Linh,9
Huyện M'Đrắk,9
Thị xã Quảng Yên,9
Huyện Sơn Tây,9
Hoành Bồ,9
Thành Phố Cẩm Phả,9
Huyện Năm Căn,8
Huyện Phú Giáo,8
Huyện Cam Lâm,8
Huyện Vân Canh,8
Huyện Tân Phú Đông,8
Thị Xã An Khê,8
Thị Xã Vĩnh Châu,8
Huyện Hiệp Hòa,8
Huyện Thủ Thừa,8
Huyện Ân Thi,8
Huyện Đất Đỏ,8
Huyện Phú Riềng,8
Huyện Tuy Đức,8
Huyện Bình Xuyên,8
Huyện Kim Động,8
Thành Phố Uông Bí,8
Huyện Gia Viễn,8
Huyện Yên Định,8
Huyện Nam Sách,8
Thị Xã Kinh Môn,8
Huyện Triệu Sơn,8
Huyện An Minh,8
Huyện Việt Yên,8
Trạm Tấu,8
Mù Cang Chải,7
Huyện Tân Biên,7
Huyện Long Mỹ,7
Huyện Hải Hậu,7
Huyện Vụ Bản,7
Huyện Trà Cú,7
Thành Phố Phúc Yên,7
Huyện Hớn Quản,7
Huyện Đồng Xuân,7
Huyện Buôn Đôn,7
